Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS
nodary01,Ryan Noda*,28.0,OAK,AL,36.0,111.0,95.0,8.0,13.0,4.0,0.0,1.0,4.0,0.0,0.0,14.0,37.0,20.0,0.0,1.0,1.0,0.0,0.0,0.137,0.255,0.211,0.465
noeljh01,Jhonkensy Noel,22.0,CLE,AL,67.0,198.0,179.0,25.0,39.0,7.0,1.0,13.0,28.0,0.0,0.0,13.0,63.0,87.0,1.0,5.0,0.0,1.0,0.0,0.218,0.288,0.486,0.774
nootbla01,Lars Nootbaar*,26.0,STL,NL,109.0,405.0,348.0,39.0,85.0,18.0,3.0,12.0,45.0,7.0,3.0,52.0,79.0,145.0,10.0,1.0,1.0,3.0,2.0,0.244,0.342,0.417,0.758
norbyco01,Connor Norby,24.0,BAL/MIA,2LG,45.0,194.0,178.0,32.0,42.0,9.0,0.0,9.0,20.0,3.0,3.0,15.0,64.0,78.0,2.0,0.0,0.0,1.0,0.0,0.236,0.294,0.438,0.732
nunezna01,Nasim Nuñez#,23.0,WSN,NL,51.0,78.0,61.0,14.0,15.0,1.0,0.0,0.0,1.0,8.0,2.0,12.0,15.0,16.0,1.0,0.0,5.0,0.0,0.0,0.246,0.37,0.262,0.632
ohearry01,Ryan O'Hearn*,30.0,BAL,AL,142.0,494.0,443.0,60.0,117.0,21.0,3.0,15.0,59.0,3.0,1.0,46.0,69.0,189.0,7.0,2.0,0.0,3.0,2.0,0.264,0.334,0.427,0.761
ohopplo01,Logan O'Hoppe,24.0,LAA,AL,136.0,522.0,479.0,64.0,117.0,17.0,1.0,20.0,56.0,2.0,3.0,33.0,155.0,196.0,7.0,8.0,1.0,1.0,0.0,0.244,0.303,0.409,0.712
ohtansh01,Shohei Ohtani*,29.0,LAD,NL,159.0,731.0,636.0,134.0,197.0,38.0,7.0,54.0,130.0,59.0,4.0,81.0,162.0,411.0,7.0,6.0,0.0,5.0,10.0,0.31,0.39,0.646,1.036
olivaed02,Edward Olivares,28.0,PIT,NL,55.0,196.0,174.0,22.0,39.0,4.0,0.0,5.0,23.0,1.0,0.0,16.0,37.0,58.0,3.0,2.0,0.0,4.0,0.0,0.224,0.291,0.333,0.624
olsonma02,Matt Olson*,30.0,ATL,NL,162.0,685.0,600.0,78.0,148.0,37.0,1.0,29.0,98.0,0.0,0.0,71.0,170.0,274.0,15.0,9.0,0.0,5.0,5.0,0.247,0.333,0.457,0.79
oneilty01,Tyler O'Neill,29.0,BOS,AL,113.0,473.0,411.0,74.0,99.0,18.0,0.0,31.0,61.0,4.0,0.0,53.0,159.0,210.0,13.0,7.0,0.0,2.0,5.0,0.241,0.336,0.511,0.847
