Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
199,Bryan De La Cruz,27,TOT,NL,99,95,86,834.2,190,178,8,4,2,.979,-9,-12,-7,-10,-2,2.01,1.88,OF,delacbr01
200,J.T. Realmuto,33,PHI,NL,99,99,93,871.1,938,899,34,5,5,.995,2,2,0,0,2,9.64,9.42,C,realmjt01
201,Josh Bell,31,TOT,NL,98,97,53,813.0,739,685,47,7,58,.991,-5,-7,-9,-13,-1,8.10,7.47,1B,belljo02
202,Will Brennan,26,CLE,AL,98,79,50,694.0,161,157,2,2,0,.988,1,2,-6,-10,-1,2.06,1.62,OF,brennwi02
203,Jonny DeLuca,25,TBR,AL,97,87,69,794.0,227,219,6,2,2,.991,5,7,5,7,-2,2.55,2.32,OF,delucjo01
204,Geraldo Perdomo,24,ARI,NL,97,95,89,849.1,378,112,261,5,55,.987,2,3,10,14,0,3.95,3.85,SS,perdoge01
205,Luis Robert Jr.,26,CHW,AL,97,95,92,828.2,257,254,1,2,0,.992,-8,-12,1,1,1,2.77,2.63,OF,roberlu01
206,Lenyn Sosa,24,CHW,AL,97,91,84,807.1,288,115,167,6,42,.979,-7,-11,-9,-13,-2,3.14,2.79,3B-2B-1B,sosale01
207,Francisco Alvarez,22,NYM,NL,96,82,70,726.0,806,775,25,6,1,.993,-6,-11,-1,-2,-8,9.92,8.33,C,alvarfr01
208,Ke'Bryan Hayes,27,PIT,NL,96,93,92,829.2,265,75,185,5,28,.981,8,11,10,14,0,2.82,2.71,3B,hayeske01
209,Ramón Laureano,29,TOT,ZZ,96,74,58,675.1,146,138,7,1,0,.993,1,1,3,5,6,1.93,1.51,OF,laurera01
210,Fernando Tatis Jr.,25,SDP,NL,96,95,86,822.2,182,171,6,5,1,.973,-7,-10,0,0,2,1.94,1.84,OF,tatisfe02
211,Ramón Urías,30,BAL,AL,96,75,67,702.2,190,58,126,6,12,.968,-6,-10,-3,-5,0,2.36,1.88,3B-2B-1B,uriasra01
212,Tyler O'Neill,29,BOS,AL,95,90,59,799.2,162,151,4,7,0,.957,-2,-3,1,1,-1,1.74,1.63,OF,oneilty01
213,Byron Buxton,30,MIN,AL,94,87,79,767.0,206,204,2,0,0,1.000,-18,-29,2,3,1,2.42,2.19,OF,buxtoby01
214,Thairo Estrada,28,SFG,NL,94,93,90,811.2,387,121,264,2,63,.995,-4,-7,-7,-10,1,4.27,4.10,2B,estrath01
215,David Hamilton,26,BOS,AL,94,78,55,699.2,330,115,205,10,40,.970,0,1,4,7,-2,4.12,3.17,SS-2B,hamilda03
216,Rhys Hoskins,31,MIL,NL,94,88,76,777.1,660,602,55,3,52,.995,-4,-6,-3,-5,-1,7.61,6.99,1B,hoskirh01
217,Jon Singleton,32,HOU,AL,94,88,72,768.2,640,568,64,8,60,.988,-14,-21,-8,-12,1,7.40,6.72,1B,singljo02
218,Nick Gonzales,25,PIT,NL,93,91,87,806.1,401,153,241,7,64,.983,-1,-1,-5,-7,-2,4.40,4.15,2B-SS-3B,gonzani01
219,Alejandro Kirk,25,TOR,AL,93,89,77,766.0,759,706,46,7,6,.991,6,10,13,20,1,8.84,8.09,C,kirkal01
220,Josh Lowe,26,TBR,AL,93,87,69,743.1,195,189,2,4,1,.979,-1,-1,-2,-3,-2,2.31,2.08,OF,lowejo01
221,Chas McCormick,29,HOU,AL,93,72,46,646.0,162,160,1,1,0,.994,4,7,-2,-3,-1,2.24,1.73,OF,mccorch01
222,Gabriel Moreno,24,ARI,NL,93,83,78,732.0,669,636,31,2,4,.997,5,9,10,16,1,8.20,7.10,C-3B,morenga01
223,Anthony Rizzo,34,NYY,AL,92,91,83,801.2,679,602,74,3,58,.996,1,2,2,3,1,7.59,7.35,1B,rizzoan01
224,Jake Rogers,29,DET,AL,92,86,75,761.0,776,744,29,3,4,.996,4,6,13,20,1,9.14,8.40,C,rogerja03
225,Ildemaro Vargas,32,WSN,NL,92,71,55,679.1,239,100,133,6,32,.975,-2,-4,-3,-5,-2,3.09,2.22,3B-2B-OF-SS-P-1B,vargail01
226,Jesse Winker,30,TOT,NL,92,85,50,670.2,138,129,7,2,1,.986,-3,-5,1,1,1,1.83,1.48,OF,winkeje01
227,Adam Duvall,35,ATL,NL,91,74,68,685.0,157,151,4,2,0,.987,-6,-10,-3,-5,-1,2.04,1.70,OF,duvalad01
228,Freddy Fermin,29,KCR,AL,91,72,71,663.0,674,634,35,5,2,.993,12,22,16,29,5,9.08,7.35,C,fermifr01
229,José Miranda,26,MIN,AL,91,85,61,723.2,240,128,106,6,15,.975,-3,-4,1,2,0,2.91,2.54,3B-1B-SS,miranjo01
